0,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1,0.105,0.11,0.115,0.12,0.125,0.13,0.135,0.14,0.145,0.15,0.155,0.16,0.165,0.17,0.175,0.18,0.185,0.19,0.195,0.2,0.205,0.21,0.215,0.22,0.225,0.23,0.235,0.24,0.245,0.25,0.255,0.26,0.265,0.27,0.275,0.28,0.285,0.29,0.295,0.3,0.305,0.31,0.315,0.32,0.325,0.33,0.335,0.34,0.345,0.35,0.355,0.36,0.365,0.37,0.375,0.38,0.385,0.39,0.395,0.4,0.405,0.41,0.415,0.42,0.425,0.43,0.435,0.44,0.445,0.45,0.455,0.46,0.465,0.47,0.475,0.48,0.485,0.49,0.495,0.5
-1,2.4981,2.5491,2.602,2.6568,2.714,2.7735,2.8356,2.9005,2.9684,3.0395,3.114,3.1922,3.2745,3.3611,3.4523,3.5485,3.6502,3.7577,3.8717,3.9926,4.121,4.2577,4.4034,4.559,4.7255,4.9039,5.0955,5.3017,5.5241,5.7647,6.0256,6.3093,6.6189,6.9577,7.3299,7.7405,8.1956,8.7023,9.2697,9.9087,10.633,11.459,12.408,13.505,14.781,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
-0.75,2.5595,2.6118,2.6661,2.7224,2.781,2.8421,2.9059,2.9726,3.0423,3.1153,3.1919,3.2723,3.3568,3.4458,3.5395,3.6385,3.743,3.8537,3.9709,4.0953,4.2275,4.3683,4.5184,4.6787,4.8503,5.0342,5.2319,5.4447,5.6744,5.923,6.1927,6.4863,6.8067,7.1578,7.5439,7.9702,8.4433,8.9707,9.5619,10.229,10.986,11.85,12.844,13.995,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
-0.5,2.6223,2.676,2.7317,2.7895,2.8497,2.9124,2.9779,3.0464,3.118,3.193,3.2716,3.3543,3.4411,3.5326,3.629,3.7307,3.8383,3.9521,4.0727,4.2007,4.3369,4.4818,4.6364,4.8016,4.9785,5.1682,5.3722,5.5919,5.8291,6.086,6.365,6.6687,7.0006,7.3646,7.7652,8.2081,8.6999,9.2491,9.8656,10.562,11.353,12.258,13.3,14.506,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
-0.25,2.6866,2.7417,2.7988,2.8582,2.92,2.9844,3.0517,3.1219,3.1955,3.2725,3.3534,3.4383,3.5276,3.6216,3.7207,3.8253,3.9359,4.053,4.1771,4.3089,4.4491,4.5984,4.7577,4.928,5.1103,5.306,5.5165,5.7433,5.9885,6.254,6.5426,6.857,7.2009,7.5783,7.9941,8.4543,8.9661,9.5381,10.181,10.908,11.736,12.683,13.775,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
0,2.7524,2.8089,2.8676,2.9285,2.992,3.0581,3.1272,3.1993,3.2749,3.3541,3.4371,3.5244,3.6161,3.7128,3.8147,3.9223,4.0361,4.1566,4.2843,4.42,4.5643,4.7181,4.8823,5.0578,5.2459,5.4478,5.665,5.8993,6.1526,6.4272,6.7258,7.0514,7.4078,7.7993,8.2311,8.7095,9.2422,9.8383,10.509,11.269,12.135,13.127,14.271,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
0.25,2.8197,2.8778,2.9379,3.0005,3.0657,3.1336,3.2045,3.2786,3.3562,3.4376,3.5229,3.6126,3.7069,3.8063,3.9111,4.0217,4.1388,4.2628,4.3943,4.534,4.6826,4.8411,5.0103,5.1912,5.3852,5.5936,5.8179,6.0599,6.3217,6.6057,6.9148,7.2521,7.6216,8.0278,8.4764,8.974,9.5286,10.15,10.851,11.645,12.551,13.59,14.788,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
0.5,2.8886,2.9482,3.01,3.0742,3.1411,3.2108,3.2837,3.3598,3.4395,3.5231,3.6108,3.703,3.7999,3.9021,4.0099,4.1237,4.2442,4.3718,4.5072,4.651,4.8041,4.9674,5.1418,5.3284,5.5286,5.7436,5.9752,6.2253,6.496,6.7899,7.1098,7.4593,7.8426,8.2643,8.7305,9.2482,9.826,10.474,11.206,12.036,12.984,14.073,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
0.75,2.9591,3.0203,3.0837,3.1496,3.2183,3.2899,3.3648,3.443,3.5249,3.6108,3.7009,3.7956,3.8953,4.0004,4.1112,4.2284,4.3523,4.4836,4.623,4.7712,4.9289,5.0972,5.277,5.4695,5.676,5.898,6.1372,6.3957,6.6757,6.9798,7.3112,7.6735,8.0711,8.5091,8.9938,9.5327,10.135,10.811,11.576,12.444,13.436,14.576,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,3.0312,3.0941,3.1592,3.2269,3.2974,3.371,3.4478,3.5282,3.6123,3.7006,3.7932,3.8906,3.9931,4.1011,4.2152,4.3357,4.4632,4.5984,4.742,4.8946,5.0571,5.2306,5.416,5.6145,5.8277,6.0569,6.3041,6.5713,6.8609,7.1757,7.5191,7.8948,8.3075,8.7626,9.2668,9.8279,10.456,11.162,11.961,12.869,13.908,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
